"date","area_name","value"
1988-10-01,"U.S.",232157
1988-11-01,"U.S.",391420
1989-01-01,"USA-NE",7006
1989-01-01,"USA-TN",8323
1989-01-01,"USA-WY",1923
1989-01-01,"NEW YORK",56307
1989-01-01,"FLORIDA",1709
1989-01-01,"CALIFORNIA",87958
1989-01-01,"USA-MT",2803
1989-01-01,"WASHINGTON",6051
1989-01-01,"USA-PA",42523
1989-01-01,"USA-LA",8279
1989-01-01,"MASSACHUSETTS",17593
1989-01-01,"USA-MS",3995
1989-01-01,"USA-WV",5838
1989-01-01,"USA-NM",5623
1989-01-01,"USA-SC",3768
1989-01-01,"USA-ID",1619
1989-01-01,"USA-RI",2864
1989-01-01,"USA-SD",1762
1989-01-01,"USA-DC",2903
1989-01-01,"USA-WI",19372
1989-01-01,"USA-IA",12794
1989-01-01,"USA-MO",21508
1989-01-01,"USA-AL",7406
1989-01-01,"USA-OK",11577
1989-01-01,"USA-ME",92
1989-01-01,"USA-OR",3632
1989-01-01,"OHIO",49326
1989-01-01,"USA-MI",55928
1989-01-01,"USA-ND",1660
1989-01-01,"USA-NV",3128
1989-01-01,"USA-VT",353
1989-01-01,"USA-NC",6946
1989-01-01,"USA-MD",12209
1989-01-01,"USA-CT",6412
1989-01-01,"USA-AZ",6104
1989-01-01,"USA-IL",74796
1989-01-01,"USA-VA",9913
1989-01-01,"USA-DE",1257
1989-01-01,"U.S.",751166
1989-01-01,"TEXAS",33465
1989-01-01,"USA-NJ",31078
1989-01-01,"USA-UT",8316
1989-01-01,"USA-HI",51
1989-01-01,"USA-NH",1044
1989-01-01,"USA-AR",6774
1989-01-01,"USA-KS",12686
1989-01-01,"MINNESOTA",18926
1989-01-01,"USA-GA",15116
1989-01-01,"USA-IN",23991
1989-01-01,"USA-KY",9700
1989-01-01,"USA-AK",1793
1989-01-01,"COLORADO",14966
1989-02-01,"USA-VA",9446
1989-02-01,"MINNESOTA",19064
1989-02-01,"USA-IN",23940
1989-02-01,"USA-NV",2971
1989-02-01,"USA-SC",3029
1989-02-01,"COLORADO",15278
1989-02-01,"USA-MI",52459
1989-02-01,"USA-SD",1865
1989-02-01,"USA-DC",2556
1989-02-01,"USA-MS",4030
1989-02-01,"FLORIDA",1445
1989-02-01,"USA-MD",10880
1989-02-01,"USA-IA",12643
1989-02-01,"USA-HI",52
1989-02-01,"USA-NE",7911
1989-02-01,"USA-DE",1153
1989-02-01,"U.S.",743050
1989-02-01,"USA-ND",1590
1989-02-01,"USA-UT",8290
1989-02-01,"USA-NC",5655
1989-02-01,"USA-MO",22300
1989-02-01,"USA-NJ",29095
1989-02-01,"USA-OK",13137
1989-02-01,"USA-ME",84
1989-02-01,"USA-KY",10403
1989-02-01,"USA-NH",904
1989-02-01,"USA-AL",7044
1989-02-01,"USA-NM",4696
1989-02-01,"USA-OR",4026
1989-02-01,"USA-AR",7118
1989-02-01,"USA-GA",16389
1989-02-01,"NEW YORK",52502
1989-02-01,"USA-WI",19607
1989-02-01,"USA-CT",5891
1989-02-01,"USA-ID",1672
1989-02-01,"USA-IL",76868
1989-02-01,"USA-AK",2148
1989-02-01,"CALIFORNIA",75817
1989-02-01,"USA-WV",5621
1989-02-01,"USA-PA",40317
1989-02-01,"USA-KS",13761
1989-02-01,"USA-TN",8151
1989-02-01,"TEXAS",40274
1989-02-01,"MASSACHUSETTS",16517
1989-02-01,"USA-WY",1964
1989-02-01,"USA-VT",314
1989-02-01,"USA-MT",2778
1989-02-01,"WASHINGTON",6660
1989-02-01,"USA-AZ",4913
1989-02-01,"OHIO",56594
1989-02-01,"USA-LA",8546
1989-02-01,"USA-RI",2682
1989-03-01,"USA-GA",9603
1989-03-01,"USA-OK",12277
1989-03-01,"CALIFORNIA",53779
1989-03-01,"WASHINGTON",5730
1989-03-01,"USA-PA",37886
1989-03-01,"USA-LA",8377
1989-03-01,"USA-SD",1639
1989-03-01,"USA-TN",7961
1989-03-01,"USA-ID",1206
1989-03-01,"USA-KY",8293
1989-03-01,"USA-HI",50
1989-03-01,"COLORADO",13652
1989-03-01,"USA-DC",2762
1989-03-01,"USA-NM",3345
1989-03-01,"USA-WI",18950
1989-03-01,"USA-IL",64320
1989-03-01,"U.S.",645859
1989-03-01,"USA-MS",4077
1989-03-01,"FLORIDA",1834
1989-03-01,"USA-OR",3351
1989-03-01,"USA-IA",12215
1989-03-01,"OHIO",42862
1989-03-01,"USA-RI",2711
1989-03-01,"USA-KS",11948
1989-03-01,"USA-DE",1223
1989-03-01,"MINNESOTA",16511
1989-03-01,"MASSACHUSETTS",16940
1989-03-01,"USA-VT",314
1989-03-01,"USA-ME",92
1989-03-01,"USA-CT",5717
1989-03-01,"USA-AZ",2937
1989-03-01,"USA-NE",6742
1989-03-01,"USA-VA",9042
1989-03-01,"TEXAS",29982
1989-03-01,"USA-UT",5786
1989-03-01,"USA-WY",1597
1989-03-01,"USA-MD",11186
1989-03-01,"USA-SC",3327
1989-03-01,"USA-WV",5179
1989-03-01,"USA-AK",1566
1989-03-01,"USA-MI",51163
1989-03-01,"USA-AR",6736
1989-03-01,"USA-MO",19809
1989-03-01,"USA-ND",1476
1989-03-01,"USA-IN",20950
1989-03-01,"USA-NV",1957
1989-03-01,"USA-MT",2544
1989-03-01,"USA-AL",7392
1989-03-01,"USA-NJ",27754
1989-03-01,"NEW YORK",51981
1989-03-01,"USA-NC",6202
1989-03-01,"USA-NH",926
1989-04-01,"U.S.",414487
1989-04-01,"MASSACHUSETTS",11858
1989-04-01,"USA-VT",227
1989-04-01,"USA-MT",1666
1989-04-01,"USA-WI",12003
1989-04-01,"USA-CT",3694
1989-04-01,"WASHINGTON",3625
1989-04-01,"USA-IL",40575
1989-04-01,"USA-LA",4724
1989-04-01,"USA-NH",686
1989-04-01,"USA-NE",3687
1989-04-01,"TEXAS",15648
1989-04-01,"USA-KY",5319
1989-04-01,"USA-SD",1036
1989-04-01,"USA-AR",3835
1989-04-01,"USA-MO",11192
1989-04-01,"USA-ME",66
1989-04-01,"USA-MD",7032
1989-04-01,"USA-GA",7211
1989-04-01,"USA-DC",1663
1989-04-01,"USA-OK",5784
1989-04-01,"FLORIDA",1207
1989-04-01,"USA-NC",3723
1989-04-01,"USA-TN",4311
1989-04-01,"USA-MS",2195
1989-04-01,"CALIFORNIA",37832
1989-04-01,"USA-AZ",1670
1989-04-01,"USA-PA",26310
1989-04-01,"COLORADO",8580
1989-04-01,"USA-UT",3585
1989-04-01,"USA-WY",1180
1989-04-01,"USA-WV",3608
1989-04-01,"OHIO",31700
1989-04-01,"USA-AK",1223
1989-04-01,"MINNESOTA",9806
1989-04-01,"USA-ND",1040
1989-04-01,"USA-NJ",17680
1989-04-01,"USA-NM",1960
1989-04-01,"USA-SC",1875
1989-04-01,"USA-ID",747
1989-04-01,"USA-OR",2054
1989-04-01,"USA-IA",7244
1989-04-01,"USA-RI",1828
1989-04-01,"USA-VA",5421
1989-04-01,"USA-KS",6518
1989-04-01,"USA-DE",793
1989-04-01,"USA-AL",4722
1989-04-01,"USA-IN",12801
1989-04-01,"USA-NV",1106
1989-04-01,"NEW YORK",35963
1989-04-01,"USA-HI",50
1989-04-01,"USA-MI",34224
1989-05-01,"USA-ND",506
1989-05-01,"USA-TN",2220
1989-05-01,"MASSACHUSETTS",7552
1989-05-01,"USA-IN",7660
1989-05-01,"USA-SC",879
1989-05-01,"USA-SD",562
1989-05-01,"U.S.",256551
1989-05-01,"USA-UT",2215
1989-05-01,"USA-VT",122
1989-05-01,"FLORIDA",817
1989-05-01,"USA-OR",1141
1989-05-01,"OHIO",18482
1989-05-01,"USA-PA",15825
1989-05-01,"USA-VA",2881
1989-05-01,"USA-KS",3436
1989-05-01,"USA-AL",2856
1989-05-01,"MINNESOTA",5523
1989-05-01,"USA-WY",743
1989-05-01,"USA-NM",1111
1989-05-01,"USA-WI",7875
1989-05-01,"TEXAS",9324
1989-05-01,"USA-MS",1282
1989-05-01,"USA-ID",368
1989-05-01,"USA-KY",3161
1989-05-01,"USA-HI",47
1989-05-01,"COLORADO",5694
1989-05-01,"USA-AR",1927
1989-05-01,"USA-DE",466
1989-05-01,"USA-GA",4629
1989-05-01,"USA-ME",49
1989-05-01,"CALIFORNIA",31161
1989-05-01,"USA-WV",2263
1989-05-01,"USA-IA",3943
1989-05-01,"NEW YORK",23868
1989-05-01,"USA-AZ",1205
1989-05-01,"USA-IL",24582
1989-05-01,"USA-RI",1223
1989-05-01,"USA-NH",422
1989-05-01,"USA-NE",1968
1989-05-01,"USA-MO",5793
1989-05-01,"USA-NJ",10547
1989-05-01,"USA-OK",3043
1989-05-01,"USA-NC",1899
1989-05-01,"USA-MD",4320
1989-05-01,"USA-CT",2231
1989-05-01,"WASHINGTON",1822
1989-05-01,"USA-AK",858
1989-05-01,"USA-DC",1025
1989-05-01,"USA-NV",829
1989-05-01,"USA-MT",965
1989-05-01,"USA-LA",2816
1989-05-01,"USA-MI",20415
1989-06-01,"USA-MO",3615
1989-06-01,"USA-VA",1713
1989-06-01,"USA-KS",2203
1989-06-01,"NEW YORK",13364
1989-06-01,"USA-OK",2169
1989-06-01,"USA-WV",1001
1989-06-01,"USA-AZ",1094
1989-06-01,"USA-AL",1709
1989-06-01,"USA-PA",8128
1989-06-01,"USA-NH",210
1989-06-01,"USA-TN",1347
1989-06-01,"TEXAS",8127
1989-06-01,"USA-DC",649
1989-06-01,"USA-ME",27
1989-06-01,"FLORIDA",707
1989-06-01,"USA-KY",1809
1989-06-01,"USA-HI",49
1989-06-01,"USA-RI",590
1989-06-01,"USA-MI",9803
1989-06-01,"USA-SD",340
1989-06-01,"USA-AR",1402
1989-06-01,"USA-NE",1137
1989-06-01,"USA-DE",272
1989-06-01,"MINNESOTA",3121
1989-06-01,"USA-WY",517
1989-06-01,"USA-NV",748
1989-06-01,"USA-MT",680
1989-06-01,"WASHINGTON",1501
1989-06-01,"USA-OR",950
1989-06-01,"USA-IL",12602
1989-06-01,"USA-GA",3050
1989-06-01,"USA-NJ",6101
1989-06-01,"MASSACHUSETTS",4053
1989-06-01,"USA-IN",3832
1989-06-01,"USA-MS",929
1989-06-01,"USA-ID",306
1989-06-01,"U.S.",155449
1989-06-01,"USA-ND",309
1989-06-01,"CALIFORNIA",26581
1989-06-01,"USA-NC",1020
1989-06-01,"USA-CT",1296
1989-06-01,"USA-SC",468
1989-06-01,"USA-IA",2063
1989-06-01,"COLORADO",3947
1989-06-01,"USA-UT",1763
1989-06-01,"USA-NM",910
1989-06-01,"USA-VT",61
1989-06-01,"USA-WI",3777
1989-06-01,"USA-MD",2681
1989-06-01,"OHIO",7759
1989-06-01,"USA-LA",2321
1989-06-01,"USA-AK",638
1989-07-01,"USA-ND",213
1989-07-01,"MASSACHUSETTS",3006
1989-07-01,"USA-DC",507
1989-07-01,"USA-IN",2894
1989-07-01,"USA-MS",864
1989-07-01,"USA-NC",744
1989-07-01,"USA-MD",2241
1989-07-01,"COLORADO",2778
1989-07-01,"USA-AR",1237
1989-07-01,"USA-DE",192
1989-07-01,"USA-GA",2988
1989-07-01,"NEW YORK",10098
1989-07-01,"CALIFORNIA",22730
1989-07-01,"USA-SC",395
1989-07-01,"USA-AZ",880
1989-07-01,"USA-HI",46
1989-07-01,"USA-IL",10775
1989-07-01,"USA-NE",1078
1989-07-01,"USA-KS",1845
1989-07-01,"TEXAS",7726
1989-07-01,"USA-UT",1374
1989-07-01,"USA-OK",1858
1989-07-01,"USA-OR",696
1989-07-01,"USA-MI",8052
1989-07-01,"MINNESOTA",2388
1989-07-01,"U.S.",128662
1989-07-01,"USA-NJ",5231
1989-07-01,"USA-WY",344
1989-07-01,"USA-NV",531
1989-07-01,"USA-ID",160
1989-07-01,"USA-LA",2189
1989-07-01,"USA-AK",432
1989-07-01,"USA-NM",829
1989-07-01,"USA-MT",426
1989-07-01,"USA-WI",2736
1989-07-01,"WASHINGTON",1002
1989-07-01,"USA-RI",500
1989-07-01,"USA-AL",1457
1989-07-01,"FLORIDA",674
1989-07-01,"USA-PA",6400
1989-07-01,"USA-MO",3008
1989-07-01,"USA-VA",1479
1989-07-01,"USA-ME",12
1989-07-01,"USA-IA",1647
1989-07-01,"OHIO",7332
1989-07-01,"USA-TN",1041
1989-07-01,"USA-VT",40
1989-07-01,"USA-CT",1114
1989-07-01,"USA-WV",741
1989-07-01,"USA-KY",1332
1989-07-01,"USA-NH",155
1989-07-01,"USA-SD",245
1989-08-01,"USA-TN",961
1989-08-01,"TEXAS",7211
1989-08-01,"WASHINGTON",801
1989-08-01,"USA-OR",549
1989-08-01,"USA-NH",127
1989-08-01,"USA-AK",370
1989-08-01,"COLORADO",2279
1989-08-01,"USA-VA",1340
1989-08-01,"USA-KS",1687
1989-08-01,"USA-ND",166
1989-08-01,"MASSACHUSETTS",2683
1989-08-01,"FLORIDA",617
1989-08-01,"USA-CT",996
1989-08-01,"USA-ID",146
1989-08-01,"USA-MI",7957
1989-08-01,"USA-NJ",4778
1989-08-01,"USA-MS",829
1989-08-01,"USA-MT",435
1989-08-01,"USA-WI",2220
1989-08-01,"USA-IA",1527
1989-08-01,"USA-AZ",777
1989-08-01,"USA-HI",42
1989-08-01,"USA-PA",6014
1989-08-01,"USA-LA",2026
1989-08-01,"USA-UT",1235
1989-08-01,"USA-WY",259
1989-08-01,"USA-NM",734
1989-08-01,"USA-NC",695
1989-08-01,"USA-AR",1137
1989-08-01,"USA-MO",2732
1989-08-01,"U.S.",121009
1989-08-01,"USA-DC",483
1989-08-01,"USA-NV",478
1989-08-01,"NEW YORK",9189
1989-08-01,"USA-OK",1654
1989-08-01,"USA-NE",1007
1989-08-01,"MINNESOTA",2269
1989-08-01,"USA-GA",2792
1989-08-01,"USA-ME",19
1989-08-01,"CALIFORNIA",22977
1989-08-01,"USA-KY",1337
1989-08-01,"OHIO",7262
1989-08-01,"USA-RI",464
1989-08-01,"USA-DE",189
1989-08-01,"USA-IN",2868
1989-08-01,"USA-MD",2070
1989-08-01,"USA-SC",327
1989-08-01,"USA-IL",9958
1989-08-01,"USA-SD",221
1989-08-01,"USA-AL",1383
1989-08-01,"USA-VT",37
1989-08-01,"USA-WV",695
1989-09-01,"USA-MO",3111
1989-09-01,"U.S.",139486
1989-09-01,"USA-NJ",5283
1989-09-01,"USA-CT",1138
1989-09-01,"USA-AR",1239
1989-09-01,"USA-AL",1404
1989-09-01,"USA-UT",1322
1989-09-01,"OHIO",9812
1989-09-01,"USA-MI",9726
1989-09-01,"USA-KS",1955
1989-09-01,"TEXAS",7869
1989-09-01,"USA-NC",745
1989-09-01,"WASHINGTON",969
1989-09-01,"USA-KY",1446
1989-09-01,"USA-SD",298
1989-09-01,"USA-ND",240
1989-09-01,"MASSACHUSETTS",2901
1989-09-01,"USA-NV",555
1989-09-01,"USA-MS",894
1989-09-01,"USA-ME",21
1989-09-01,"USA-MT",568
1989-09-01,"USA-WV",824
1989-09-01,"COLORADO",2601
1989-09-01,"USA-NE",1212
1989-09-01,"USA-VA",1374
1989-09-01,"MINNESOTA",2682
1989-09-01,"USA-GA",3466
1989-09-01,"USA-WY",350
1989-09-01,"NEW YORK",9514
1989-09-01,"FLORIDA",641
1989-09-01,"USA-MD",2177
1989-09-01,"USA-SC",346
1989-09-01,"USA-IA",1790
1989-09-01,"USA-AZ",833
1989-09-01,"USA-RI",497
1989-09-01,"USA-DE",207
1989-09-01,"USA-IN",3957
1989-09-01,"USA-VT",43
1989-09-01,"USA-HI",45
1989-09-01,"USA-PA",6716
1989-09-01,"USA-IL",13627
1989-09-01,"USA-AK",536
1989-09-01,"USA-TN",1044
1989-09-01,"USA-DC",494
1989-09-01,"USA-OK",1886
1989-09-01,"USA-NM",765
1989-09-01,"USA-WI",3173
1989-09-01,"USA-ID",221
1989-09-01,"USA-OR",581
1989-09-01,"USA-LA",2035
1989-09-01,"USA-NH",169
1989-09-01,"CALIFORNIA",24184
1989-10-01,"USA-MO",5047
1989-10-01,"USA-KS",2901
1989-10-01,"USA-ND",398
1989-10-01,"MASSACHUSETTS",4839
1989-10-01,"USA-DC",655
1989-10-01,"USA-WY",518
1989-10-01,"USA-IN",8198
1989-10-01,"USA-NM",899
1989-10-01,"USA-MS",1043
1989-10-01,"USA-WV",1738
1989-10-01,"OHIO",20647
1989-10-01,"USA-MI",19994
1989-10-01,"USA-AR",1562
1989-10-01,"USA-AL",1862
1989-10-01,"USA-OK",2571
1989-10-01,"WASHINGTON",1622
1989-10-01,"USA-IL",26027
1989-10-01,"USA-AK",895
1989-10-01,"USA-NE",1972
1989-10-01,"TEXAS",9777
1989-10-01,"NEW YORK",16060
1989-10-01,"USA-VT",97
1989-10-01,"USA-LA",2513
1989-10-01,"USA-RI",855
1989-10-01,"USA-NH",274
1989-10-01,"USA-SD",535
1989-10-01,"USA-GA",5190
1989-10-01,"USA-MT",1084
1989-10-01,"USA-MD",3134
1989-10-01,"USA-SC",620
1989-10-01,"USA-OR",804
1989-10-01,"USA-KY",3109
1989-10-01,"USA-IA",3225
1989-10-01,"USA-AZ",959
1989-10-01,"USA-VA",2831
1989-10-01,"USA-DE",275
1989-10-01,"USA-TN",1683
1989-10-01,"USA-ME",35
1989-10-01,"CALIFORNIA",28083
1989-10-01,"USA-WI",6052
1989-10-01,"USA-ID",329
1989-10-01,"USA-PA",13222
1989-10-01,"COLORADO",3750
1989-10-01,"U.S.",228672
1989-10-01,"USA-NJ",8933
1989-10-01,"USA-UT",1718
1989-10-01,"FLORIDA",637
1989-10-01,"USA-NC",1338
1989-10-01,"USA-HI",43
1989-10-01,"MINNESOTA",5430
1989-10-01,"USA-NV",703
1989-10-01,"USA-CT",1986
1989-11-01,"USA-KS",5398
1989-11-01,"USA-DC",1099
1989-11-01,"USA-NC",2823
1989-11-01,"USA-CT",3221
1989-11-01,"USA-HI",46
1989-11-01,"USA-LA",4166
1989-11-01,"USA-AL",3646
1989-11-01,"USA-TN",3555
1989-11-01,"USA-WY",973
1989-11-01,"CALIFORNIA",40070
1989-11-01,"USA-SC",1526
1989-11-01,"WASHINGTON",3484
1989-11-01,"USA-AZ",1768
1989-11-01,"USA-DE",485
1989-11-01,"USA-ME",46
1989-11-01,"USA-WI",10581
1989-11-01,"USA-KY",6141
1989-11-01,"USA-RI",1325
1989-11-01,"USA-NH",448
1989-11-01,"USA-SD",1076
1989-11-01,"USA-VA",4799
1989-11-01,"USA-GA",11110
1989-11-01,"MASSACHUSETTS",7495
1989-11-01,"USA-IN",15187
1989-11-01,"NEW YORK",28576
1989-11-01,"FLORIDA",974
1989-11-01,"USA-WV",3240
1989-11-01,"USA-AK",1474
1989-11-01,"COLORADO",6975
1989-11-01,"USA-ND",816
1989-11-01,"USA-NJ",15715
1989-11-01,"USA-UT",3640
1989-11-01,"USA-NM",1975
1989-11-01,"USA-ID",768
1989-11-01,"OHIO",37970
1989-11-01,"USA-IL",51490
1989-11-01,"MINNESOTA",11067
1989-11-01,"USA-MT",1728
1989-11-01,"USA-MD",5131
1989-11-01,"USA-OR",1835
1989-11-01,"USA-AR",2987
1989-11-01,"USA-MO",9441
1989-11-01,"U.S.",405314
1989-11-01,"USA-NV",1400
1989-11-01,"USA-OK",4798
1989-11-01,"USA-MS",1933
1989-11-01,"USA-IA",5912
1989-11-01,"USA-PA",22442
1989-11-01,"USA-MI",31679
1989-11-01,"USA-NE",3788
1989-11-01,"TEXAS",16927
1989-11-01,"USA-VT",165
1990-01-01,"USA-MO",24889
1990-01-01,"USA-KS",15037
1990-01-01,"U.S.",788596
1990-01-01,"USA-MS",6060
1990-01-01,"USA-OK",14092
1990-01-01,"USA-NM",5350
1990-01-01,"USA-VT",402
1990-01-01,"USA-ME",109
1990-01-01,"USA-WI",19353
1990-01-01,"USA-IA",14120
1990-01-01,"USA-AK",1745
1990-01-01,"USA-DC",3258
1990-01-01,"USA-WY",1832
1990-01-01,"USA-MD",13718
1990-01-01,"USA-ID",1445
1990-01-01,"USA-WV",6858
1990-01-01,"USA-KY",9736
1990-01-01,"COLORADO",15699
1990-01-01,"USA-AR",8681
1990-01-01,"USA-GA",16238
1990-01-01,"USA-UT",7169
1990-01-01,"NEW YORK",54059
1990-01-01,"USA-MT",2625
1990-01-01,"USA-PA",46618
1990-01-01,"USA-IL",71107
1990-01-01,"USA-MI",55931
1990-01-01,"USA-VA",10632
1990-01-01,"USA-ND",1661
1990-01-01,"CALIFORNIA",78572
1990-01-01,"USA-OR",3807
1990-01-01,"USA-AZ",5994
1990-01-01,"OHIO",50210
1990-01-01,"USA-DE",1613
1990-01-01,"MINNESOTA",18979
1990-01-01,"MASSACHUSETTS",20092
1990-01-01,"USA-NC",8535
1990-01-01,"USA-SC",4887
1990-01-01,"USA-LA",12359
1990-01-01,"USA-NH",1118
1990-01-01,"USA-NE",7593
1990-01-01,"USA-NJ",32311
1990-01-01,"USA-IN",25597
1990-01-01,"WASHINGTON",5949
1990-01-01,"USA-HI",49
1990-01-01,"USA-SD",1769
1990-01-01,"USA-AL",10893
1990-01-01,"USA-TN",11556
1990-01-01,"TEXAS",42528
1990-01-01,"USA-NV",2988
1990-01-01,"FLORIDA",2829
1990-01-01,"USA-CT",6690
1990-01-01,"USA-RI",3256
1990-02-01,"FLORIDA",1470
1990-02-01,"CALIFORNIA",73931
1990-02-01,"USA-NC",4909
1990-02-01,"USA-ID",1419
1990-02-01,"USA-AZ",5582
1990-02-01,"USA-PA",34274
1990-02-01,"USA-LA",6495
1990-02-01,"MINNESOTA",16064
1990-02-01,"U.S.",642665
1990-02-01,"NEW YORK",52751
1990-02-01,"USA-MD",8971
1990-02-01,"WASHINGTON",6383
1990-02-01,"USA-IA",10664
1990-02-01,"OHIO",47643
1990-02-01,"USA-WY",1692
1990-02-01,"USA-IN",20159
1990-02-01,"USA-SC",2591
1990-02-01,"USA-HI",52
1990-02-01,"USA-RI",2532
1990-02-01,"USA-AK",2090
1990-02-01,"USA-NE",6472
1990-02-01,"USA-VA",7167
1990-02-01,"USA-NJ",24403
1990-02-01,"MASSACHUSETTS",15721
1990-02-01,"USA-NV",3010
1990-02-01,"USA-WV",4690
1990-02-01,"USA-IL",64322
1990-02-01,"USA-AR",5556
1990-02-01,"USA-KS",10951
1990-02-01,"USA-DE",1069
